Country;Region;Year;Population;Migrant.Stock;Refugee.Stock
Monaco;Western Europe;2015;38;21042;32
Netherlands;Western Europe;2015;16938;1996318;116587
Switzerland;Western Europe;2015;8320;2416394;106037
Belarus;Eastern Europe;2017;9468;1078652;4408
Bulgaria;Eastern Europe;2017;7085;153803;33655
Czechia;Eastern Europe;2017;10618;433290;4529
Hungary;Eastern Europe;2017;9722;503787;14314
Poland;Eastern Europe;2017;38171;640937;12912
Republic of Moldova;Eastern Europe;2017;4051;140045;557
Romania;Eastern Europe;2017;19679;370753;2917
Russian Federation;Eastern Europe;2017;143990;11651509;316595
Slovakia;Eastern Europe;2017;5448;184642;1129
Ukraine;Eastern Europe;2017;44223;4964293;9665
Channel Islands;Northern Europe;2017;165;83082;0
Denmark;Northern Europe;2017;5734;656789;41640
Estonia;Northern Europe;2017;1310;192962;285
Faeroe Islands;Northern Europe;2017;49;5735;0
Finland;Northern Europe;2017;5523;343582;30133
Iceland;Northern Europe;2017;335;41853;357
Ireland;Northern Europe;2017;4762;806549;10392
Isle of Man;Northern Europe;2017;84;45872;0
Latvia;Northern Europe;2017;1950;256889;396
Lithuania;Northern Europe;2017;2890;124706;1197
Norway;Northern Europe;2017;5305;798944;70674
Sweden;Northern Europe;2017;9911;1747710;317477
United Kingdom;Northern Europe;2017;66182;8841717;151621
Albania;Southern Europe;2017;2930;52484;1387
Andorra;Southern Europe;2017;77;41039;0
Bosnia and Herzegovina;Southern Europe;2017;3507;37100;5324
Croatia;Southern Europe;2017;4189;560483;12554
Gibraltar;Southern Europe;2017;35;11152;0
Greece;Southern Europe;2017;11160;1220395;94630
Holy See;Southern Europe;2017;1;792;0
Italy;Southern Europe;2017;59360;5907461;216027
Malta;Southern Europe;2017;431;45539;8126
Portugal;Southern Europe;2017;10330;880188;1806
San Marino;Southern Europe;2017;33;5243;0
Serbia;Southern Europe;2017;8791;801903;31314
Slovenia;Southern Europe;2017;2080;244790;607
Spain;Southern Europe;2017;46354;5947106;28205
TFYR Macedonia;Southern Europe;2017;2083;130972;771
Austria;Western Europe;2017;8735;1660283;165446
Belgium;Western Europe;2017;11429;1268411;61780
France;Western Europe;2017;64980;7902783;354880
Germany;Western Europe;2017;82114;12165083;1256828
Liechtenstein;Western Europe;2017;38;24683;254
Luxembourg;Western Europe;2017;583;264073;4066
Monaco;Western Europe;2017;39;21255;32
Netherlands;Western Europe;2017;17036;2056520;114303
Switzerland;Western Europe;2017;8476;2506394;110044
